run	index name	bool fields count	document count	base	percentage of true	disk space	query type	thread count	min terms	max terms	duration	queries run	queries with results	total results lower bound	error count	queries per second	percentage of queries that had results	average results per query	average query duration	<1	<2	<5	<10	<20	<50	<100	<200	<500	<1,000	<2,000	<5,000	<10,000	<20,000	>=20,000
112	test03	100	50,000,000	1.05	18.3	11,409,167,710	NEGATE_ALL2	20	3	3	60,374	1,618	0	0	6	27	.00	.00	521									62.73	36.22	1.05				
113	test03	100	50,000,000	1.05	18.3	11,409,167,710	ALL	20	4	4	60,681	3,372	3,136	11,009,762	0	56	93.00	3,265.05	357			.48		.03	.48	.56	11.42	73.49	14.09	.39	.03			
114	test03	100	50,000,000	1.05	18.3	11,409,167,710	SOME	20	4	4	63,115	527	527	5,270,000	0	8	100.00	10,000.00	2,312							.19	.19	.95	1.52	33.40	63.76			
115	test03	100	50,000,000	1.05	18.3	11,409,167,710	NEGATE_ALL	20	4	4	60,059	0	0	0	20	0	NaN	NaN	NaN															
116	test03	100	50,000,000	1.05	18.3	11,409,167,710	NEGATE_ALL2	20	4	4	60,359	1,611	0	0	7	27	.00	.00	486									71.20	28.49	.31				
117	test03	100	50,000,000	1.05	18.3	11,409,167,710	ALL	20	6	6	60,748	3,097	1,815	1,176,374	2	51	58.61	379.84	361			.03	.03	.03	.84	7.62	23.47	54.28	11.79	1.19	.26	.29	.16	
118	test03	100	50,000,000	1.05	18.3	11,409,167,710	SOME	20	6	6	64,273	388	388	3,880,000	0	6	100.00	10,000.00	3,186										2.56	4.64	94.33	1.03		
119	test03	100	50,000,000	1.05	18.3	11,409,167,710	NEGATE_ALL	20	6	6	60,078	0	0	0	20	0	NaN	NaN	NaN															
120	test03	100	50,000,000	1.05	18.3	11,409,167,710	NEGATE_ALL2	20	6	6	60,501	1,638	0	0	5	27	.00	.00	552									43.28	55.25	1.47				
121	test03	100	50,000,000	1.05	18.3	11,409,167,710	ALL	20	10	10	60,196	41,537	1,378	34,644	0	690	3.32	.83	29				.88	30.87	60.22	6.44	1.30	.29	.12	.00				
122	test03	100	50,000,000	1.05	18.3	11,409,167,710	SOME	20	10	10	64,649	261	261	2,610,000	0	4	100.00	10,000.00	4,766											1.53	54.02	44.44		
123	test03	100	50,000,000	1.05	18.3	11,409,167,710	NEGATE_ALL	20	10	10	60,069	0	0	0	20	0	NaN	NaN	NaN															100.00
124	test03	100	50,000,000	1.05	18.3	11,409,167,710	NEGATE_ALL2	20	10	10	60,403	1,581	1	1	7	26	.06	.00	495									67.17	31.75	.95	.06	.06		
125	test03	100	50,000,000	1.05	18.3	11,409,167,710	ALL	20	15	15	60,042	72,565	2	2	0	1,209	.00	.00	17			.02	9.49	67.15	22.65	.67	.02							
126	test03	100	50,000,000	1.05	18.3	11,409,167,710	SOME	20	15	15	66,443	203	203	2,030,000	0	3	100.00	10,000.00	6,258												7.39	92.61		
127	test03	100	50,000,000	1.05	18.3	11,409,167,710	NEGATE_ALL	20	15	15	89,448	4	0	0	19	0	.00	.00	36,247															100.00
128	test03	100	50,000,000	1.05	18.3	11,409,167,710	NEGATE_ALL2	20	15	15	60,778	1,391	26	31	0	23	1.87	.02	868									.50	86.77	10.93	1.44	.22	.14	
129	test04	100	50,000,000	1.25	4.2	5,585,505,119	ALL	1	1	5	60,369	5,224	1,625	5,582,703	0	87	31.11	1,068.66	12	29.38	53.29	6.64	2.24	1.86	2.70	1.30	.98	.88	.73					
130	test04	100	50,000,000	1.25	4.2	5,585,505,119	SOME	1	1	5	60,091	308	308	2,361,512	0	5	100.00	7,667.25	195	4.87	19.81	10.39	3.57	5.52	15.26	8.12	6.82	9.74	11.36	4.55				
131	test04	100	50,000,000	1.25	4.2	5,585,505,119	NEGATE_ALL	1	1	5	65,675	10	10	100,000	0	0	100.00	10,000.00	6,568													100.00		
132	test04	100	50,000,000	1.25	4.2	5,585,505,119	NEGATE_ALL2	1	1	5	64,531	16	16	160,000	0	0	100.00	10,000.00	4,033												87.50	6.25	6.25	
133	test04	100	50,000,000	1.25	4.2	5,585,505,119	ALL	10	1	5	60,177	41,853	12,641	45,161,973	0	695	30.20	1,079.06	14	38.11	46.87	4.56	1.83	1.71	2.48	1.24	1.13	1.27	.71	.09				
134	test04	100	50,000,000	1.25	4.2	5,585,505,119	SOME	10	1	5	60,454	2,639	2,639	20,054,724	0	44	100.00	7,599.37	228	3.49	21.60	9.17	5.57	6.59	11.63	8.03	6.86	10.61	9.28	6.67	.49			
135	test04	100	50,000,000	1.25	4.2	5,585,505,119	NEGATE_ALL	10	1	5	65,958	84	84	840,000	0	1	100.00	10,000.00	7,525													100.00		
136	test04	100	50,000,000	1.25	4.2	5,585,505,119	NEGATE_ALL2	10	1	5	70,972	141	141	1,410,000	0	2	100.00	10,000.00	4,483												89.36	7.80	1.42	1.42
137	test04	100	50,000,000	1.25	4.2	5,585,505,119	ALL	20	1	5	60,593	42,903	13,035	47,047,572	0	708	30.38	1,096.60	28	.01	.35	23.29	29.25	18.45	18.60	5.90	2.02	1.32	.69	.12				
138	test04	100	50,000,000	1.25	4.2	5,585,505,119	SOME	20	1	5	61,084	2,665	2,665	19,851,987	0	44	100.00	7,449.15	453		.15	.11	.04	.04	.90	7.84	21.73	41.95	16.02	9.94	1.28			
139	test04	100	50,000,000	1.25	4.2	5,585,505,119	NEGATE_ALL	20	1	5	74,293	94	94	940,000	0	1	100.00	10,000.00	14,150													10.64	89.36	
140	test04	100	50,000,000	1.25	4.2	5,585,505,119	NEGATE_ALL2	20	1	5	67,268	150	150	1,500,000	0	2	100.00	10,000.00	8,502												5.33	84.67	10.00	
141	test04	100	50,000,000	1.25	4.2	5,585,505,119	ALL	100	1	5	60,566	43,637	13,266	46,493,798	0	720	30.40	1,065.47	138	.01	.07	.08	.03	.05	7.15	36.38	39.40	15.60	1.04	.20				
142	test04	100	50,000,000	1.25	4.2	5,585,505,119	SOME	100	1	5	63,148	2,709	2,709	20,360,780	0	43	100.00	7,515.98	2,263		.15	.04	.07	.07	.18	.22	.26	.44	1.14	30.05	67.37			
143	test04	100	50,000,000	1.25	4.2	5,585,505,119	NEGATE_ALL	100	1	5	134,461	175	175	1,750,000	0	1	100.00	10,000.00	55,608													5.71	5.71	88.57
144	test04	100	50,000,000	1.25	4.2	5,585,505,119	NEGATE_ALL2	100	1	5	112,936	233	233	2,330,000	0	2	100.00	10,000.00	34,755												4.29	4.29	11.16	80.26
145	test04	100	50,000,000	1.25	4.2	5,585,505,119	ALL	100	1	1	60,846	11,068	11,068	47,771,175	0	182	100.00	4,316.15	545	.01	.08	.26	.10	.05	.14	.18	.95	43.18	50.62	4.41	.02			
146	test04	100	50,000,000	1.25	4.2	5,585,505,119	SOME	100	1	1	61,024	11,440	11,440	48,635,790	0	187	100.00	4,251.38	526	.14	.09	.02	.14	.53	.33	.03	2.22	47.75	46.02	3.54				
147	test04	100	50,000,000	1.25	4.2	5,585,505,119	NEGATE_ALL	100	1	1	134,813	172	172	1,720,000	0	1	100.00	10,000.00	56,747													5.81	5.81	88.37
148	test04	100	50,000,000	1.25	4.2	5,585,505,119	NEGATE_ALL2	100	1	1	102,430	244	244	2,440,000	0	2	100.00	10,000.00	33,567												4.10	3.69	9.43	82.79
149	test04	100	50,000,000	1.25	4.2	5,585,505,119	ALL	100	2	2	60,612	43,675	17,435	39,965,787	0	721	39.92	915.07	138	.01	.05	.07	.02	.10	4.89	32.63	46.76	14.59	.71	.16				
150	test04	100	50,000,000	1.25	4.2	5,585,505,119	SOME	100	2	2	62,258	4,350	4,350	29,744,460	0	70	100.00	6,837.81	1,398		.14	.05	.02	.09	.21	.18	.21	.90	10.34	79.56	8.30			
151	test04	100	50,000,000	1.25	4.2	5,585,505,119	NEGATE_ALL	100	2	2	134,235	174	174	1,740,000	0	1	100.00	10,000.00	56,181													5.75	5.75	88.51
152	test04	100	50,000,000	1.25	4.2	5,585,505,119	NEGATE_ALL2	100	2	2	111,476	237	237	2,370,000	0	2	100.00	10,000.00	34,803												4.22	3.80	8.86	83.12
153	test04	100	50,000,000	1.25	4.2	5,585,505,119	ALL	100	3	3	60,769	189,263	18,702	23,679,973	0	3,114	9.88	125.12	32	.00	.01	.05	.67	29.06	57.56	11.26	1.03	.28	.07	.01				
154	test04	100	50,000,000	1.25	4.2	5,585,505,119	SOME	100	3	3	63,708	2,705	2,705	22,438,448	0	42	100.00	8,295.18	2,268		.07	.04	.07	.04	.07	.07	.22	.44	1.07	26.58	71.31	.39		
155	test04	100	50,000,000	1.25	4.2	5,585,505,119	NEGATE_ALL	100	3	3	134,550	176	176	1,760,000	0	1	100.00	10,000.00	55,855													5.68	5.68	88.64
156	test04	100	50,000,000	1.25	4.2	5,585,505,119	NEGATE_ALL2	100	3	3	121,786	236	236	2,360,000	0	2	100.00	10,000.00	35,488												3.39	3.81	8.90	83.90
157	test04	100	50,000,000	1.25	4.2	5,585,505,119	ALL	100	4	4	60,107	389,078	7,231	4,785,917	0	6,473	1.86	12.30	15	.00	.01	.06	26.69	57.06	14.24	1.45	.32	.15	.01	.00				
158	test04	100	50,000,000	1.25	4.2	5,585,505,119	SOME	100	4	4	63,785	2,038	2,038	18,401,558	0	32	100.00	9,029.22	3,011			.05	.05	.05	.20	.15	.29	.54	.93	2.99	93.96	.79		
159	test04	100	50,000,000	1.25	4.2	5,585,505,119	NEGATE_ALL	100	4	4	134,360	177	177	1,770,000	0	1	100.00	10,000.00	55,335													5.65	6.21	88.14
160	test04	100	50,000,000	1.25	4.2	5,585,505,119	NEGATE_ALL2	100	4	4	104,164	219	219	2,190,000	0	2	100.00	10,000.00	37,413												3.65	4.57	9.13	82.65
161	test04	100	50,000,000	1.25	4.2	5,585,505,119	ALL	100	6	6	60,056	871,734	285	57,893	0	14,515	.03	.07	7	.00	.00	.02	97.74	2.20	.02	.01	.01	.00	.00					
162	test04	100	50,000,000	1.25	4.2	5,585,505,119	SOME	100	6	6	65,442	1,276	1,276	12,404,532	0	19	100.00	9,721.42	4,899				.35		.35	.08	.16	.39	.63	1.25	51.18	46.32		
163	test04	100	50,000,000	1.25	4.2	5,585,505,119	NEGATE_ALL	100	6	6	133,515	179	179	1,790,000	0	1	100.00	10,000.00	54,135													5.59	6.15	88.27
164	test04	100	50,000,000	1.25	4.2	5,585,505,119	NEGATE_ALL2	100	6	6	115,399	214	214	2,140,000	0	2	100.00	10,000.00	39,212												4.21	3.74	10.75	81.31
165	test04	100	50,000,000	1.25	4.2	5,585,505,119	ALL	100	10	10	60,008	648,346	0	0	0	10,804	.00	.00	9	.00	.00	.01	64.44	35.55	.00									
166	test04	100	50,000,000	1.25	4.2	5,585,505,119	SOME	100	10	10	69,606	876	876	8,735,992	0	13	100.00	9,972.59	7,358						.44	.23	.34	.34	1.14	1.26	5.14	90.30	1.26	
167	test04	100	50,000,000	1.25	4.2	5,585,505,119	NEGATE_ALL	100	10	10	127,318	182	182	1,820,000	0	1	100.00	10,000.00	51,708												.55	4.95	7.69	86.81
168	test04	100	50,000,000	1.25	4.2	5,585,505,119	NEGATE_ALL2	100	10	10	122,803	202	202	2,020,000	0	2	100.00	10,000.00	44,120												1.98	3.47	10.89	83.66
169	test04	100	50,000,000	1.25	4.2	5,585,505,119	ALL	100	15	15	60,013	477,557	0	0	0	7,958	.00	.00	13		.00	.01	.02	99.39	.58									
170	test04	100	50,000,000	1.25	4.2	5,585,505,119	SOME	100	15	15	71,307	622	622	6,220,000	0	9	100.00	10,000.00	10,537						.16			.32	.48	.80	4.82	11.41	81.99	
171	test04	100	50,000,000	1.25	4.2	5,585,505,119	NEGATE_ALL	100	15	15	124,250	188	188	1,880,000	0	2	100.00	10,000.00	48,947												1.06	4.26	9.04	85.64
172	test04	100	50,000,000	1.25	4.2	5,585,505,119	NEGATE_ALL2	100	15	15	136,671	181	181	1,810,000	0	1	100.00	10,000.00	50,747												2.76	3.87	8.29	85.08
173	test05	100	50,000,000	2	1.84	4,247,492,638	ALL	1	1	5	60,042	13,733	3,094	4,406,672	0	229	22.53	320.88	4	41.25	51.37	4.86	.41	.39	.50	.25	.27	.53	.17					
174	test05	100	50,000,000	2	1.84	4,247,492,638	SOME	1	1	5	60,052	951	951	3,552,432	0	16	100.00	3,735.47	63	12.51	51.00	8.10	2.84	4.52	5.15	2.63	3.79	5.89	2.94	.63				
175	test05	100	50,000,000	2	1.84	4,247,492,638	NEGATE_ALL	1	1	5	60,634	31	31	310,000	0	1	100.00	10,000.00	1,956											25.81	74.19			
176	test05	100	50,000,000	2	1.84	4,247,492,638	NEGATE_ALL2	1	1	5	62,655	3	3	30,000	0	0	100.00	10,000.00	20,885														33.33	66.67
177	test05	100	50,000,000	2	1.84	4,247,492,638	ALL	10	1	5	60,477	127,172	28,383	38,002,004	0	2,103	22.32	298.82	5	51.87	44.72	1.11	.33	.35	.56	.23	.21	.33	.22	.08				
178	test05	100	50,000,000	2	1.84	4,247,492,638	SOME	10	1	5	61,198	7,159	7,159	25,460,962	0	117	100.00	3,556.50	85	11.57	53.33	7.05	3.28	3.55	6.02	2.84	2.65	3.45	3.17	3.02	.07			
179	test05	100	50,000,000	2	1.84	4,247,492,638	NEGATE_ALL	10	1	5	61,907	266	266	2,660,000	0	4	100.00	10,000.00	2,294											8.65	91.35			
180	test05	100	50,000,000	2	1.84	4,247,492,638	NEGATE_ALL2	10	1	5	74,312	30	30	300,000	0	0	100.00	10,000.00	22,727															100.00
181	test05	100	50,000,000	2	1.84	4,247,492,638	ALL	20	1	5	60,712	123,937	27,393	37,581,794	0	2,041	22.10	303.23	10	.02	6.04	73.36	10.55	4.02	3.76	1.06	.54	.32	.23	.09				
182	test05	100	50,000,000	2	1.84	4,247,492,638	SOME	20	1	5	60,917	7,486	7,486	27,199,289	0	123	100.00	3,633.35	161	.08	.11	1.04	4.54	7.57	22.27	24.91	21.56	11.01	3.57	3.23	.19			
183	test05	100	50,000,000	2	1.84	4,247,492,638	NEGATE_ALL	20	1	5	64,372	277	277	2,770,000	0	4	100.00	10,000.00	4,490											.36	92.06	7.58		
184	test05	100	50,000,000	2	1.84	4,247,492,638	NEGATE_ALL2	20	1	5	101,917	38	38	380,000	2	0	100.00	10,000.00	39,760															100.00
185	test05	100	50,000,000	2	1.84	4,247,492,638	ALL	100	1	5	60,659	128,723	28,750	40,031,252	0	2,122	22.34	310.99	47	.01	.05	.18	.55	22.70	48.21	20.65	6.40	.93	.21	.12				
186	test05	100	50,000,000	2	1.84	4,247,492,638	SOME	100	1	5	61,641	8,108	8,108	28,788,929	0	132	100.00	3,550.68	743	.01	.20	.12	.05	.04	.21	.07	.62	23.90	58.37	15.16	1.25			
187	test05	100	50,000,000	2	1.84	4,247,492,638	NEGATE_ALL	100	1	5	82,438	356	356	3,560,000	0	4	100.00	10,000.00	20,017											.56	4.49	5.90	12.08	76.97
188	test05	100	50,000,000	2	1.84	4,247,492,638	NEGATE_ALL2	100	1	5	286,506	116	116	1,160,000	3	0	100.00	10,000.00	144,948															100.00
189	test05	100	50,000,000	2	1.84	4,247,492,638	ALL	100	1	1	60,846	29,773	29,773	41,437,812	0	489	100.00	1,391.79	202		.06	.27	.16	.07	3.18	17.04	39.74	35.98	2.63	.86				
190	test05	100	50,000,000	2	1.84	4,247,492,638	SOME	100	1	1	60,455	27,543	27,543	39,646,019	0	456	100.00	1,439.42	218	.00	.21	.14	.13	.18	2.11	14.38	38.66	40.35	2.88	.96				
191	test05	100	50,000,000	2	1.84	4,247,492,638	NEGATE_ALL	100	1	1	83,322	353	353	3,530,000	0	4	100.00	10,000.00	20,377												5.38	5.10	12.75	76.77
192	test05	100	50,000,000	2	1.84	4,247,492,638	NEGATE_ALL2	100	1	1	287,448	118	118	1,180,000	2	0	100.00	10,000.00	147,252															100.00
193	test05	100	50,000,000	2	1.84	4,247,492,638	ALL	100	2	2	60,646	317,488	33,242	32,657,840	0	5,235	10.47	102.86	19	.00	.00	.09	17.04	55.64	24.06	2.52	.41	.17	.06	.02				
194	test05	100	50,000,000	2	1.84	4,247,492,638	SOME	100	2	2	61,145	13,619	13,619	36,306,994	0	223	100.00	2,665.91	442	.04	.26	.12	.04	.07	.32	.28	8.90	60.64	26.51	2.70	.17			
195	test05	100	50,000,000	2	1.84	4,247,492,638	NEGATE_ALL	100	2	2	82,761	355	355	3,550,000	0	4	100.00	10,000.00	20,100											.71	5.35	5.92	11.55	77.18
196	test05	100	50,000,000	2	1.84	4,247,492,638	NEGATE_ALL2	100	2	2	288,599	112	112	1,120,000	7	0	100.00	10,000.00	145,851															100.00
197	test05	100	50,000,000	2	1.84	4,247,492,638	ALL	100	3	3	60,005	1,097,065	5,981	4,473,863	0	18,283	.55	4.08	5	.00	.00	31.96	66.09	1.86	.05	.02	.01	.01	.00	.00				
198	test05	100	50,000,000	2	1.84	4,247,492,638	SOME	100	3	3	61,923	7,755	7,755	28,865,628	0	125	100.00	3,722.20	782	.03	.14	.10	.13	.05	.06	.10	.44	18.71	60.53	18.30	1.41			
199	test05	100	50,000,000	2	1.84	4,247,492,638	NEGATE_ALL	100	3	3	82,990	361	361	3,610,000	0	4	100.00	10,000.00	19,864											.55	4.43	6.65	11.91	76.45
200	test05	100	50,000,000	2	1.84	4,247,492,638	NEGATE_ALL2	100	3	3	282,247	118	118	1,180,000	2	0	100.00	10,000.00	142,375															100.00
201	test05	100	50,000,000	2	1.84	4,247,492,638	ALL	100	4	4	60,005	1,161,843	234	127,124	0	19,362	.02	.11	5	.00	.01	44.85	54.13	.89	.10	.01	.00	.00						
202	test05	100	50,000,000	2	1.84	4,247,492,638	SOME	100	4	4	62,548	5,985	5,985	27,793,816	0	96	100.00	4,643.91	1,014	.26	.28	.22	.18	.20	.20	.27	.27	5.70	45.55	44.01	3.12			
203	test05	100	50,000,000	2	1.84	4,247,492,638	NEGATE_ALL	100	4	4	82,770	361	361	3,610,000	0	4	100.00	10,000.00	19,858											.71	5.26	5.54	11.91	77.29
204	test05	100	50,000,000	2	1.84	4,247,492,638	NEGATE_ALL2	100	4	4	282,977	119	119	1,190,000	1	0	100.00	10,000.00	141,124															100.00
205	test05	100	50,000,000	2	1.84	4,247,492,638	ALL	100	6	6	60,005	1,065,851	0	0	0	17,763	.00	.00	6	.00	.00	13.34	85.51	1.14	.00									
206	test05	100	50,000,000	2	1.84	4,247,492,638	SOME	100	6	6	61,961	3,510	3,510	21,231,472	0	57	100.00	6,048.85	1,729		.09	.17	.09		.03	.09	.03	.03	3.33	72.51	23.65			
207	test05	100	50,000,000	2	1.84	4,247,492,638	NEGATE_ALL	100	6	6	82,014	368	368	3,680,000	0	4	100.00	10,000.00	19,355											.71	5.16	5.71	12.23	76.90
208	test05	100	50,000,000	2	1.84	4,247,492,638	NEGATE_ALL2	100	6	6	291,419	108	108	1,080,000	11	0	100.00	10,000.00	138,154														2.78	97.22
209	test05	100	50,000,000	2	1.84	4,247,492,638	ALL	100	10	10	60,007	879,233	0	0	0	14,652	.00	.00	7	.00	.00	.02	97.49	2.48	.00									
210	test05	100	50,000,000	2	1.84	4,247,492,638	SOME	100	10	10	64,572	1,937	1,937	15,736,003	0	30	100.00	8,123.90	3,205		.05	.10	.10	.10	.36	.05	.05	1.14	.46	2.58	91.79	3.20		
211	test05	100	50,000,000	2	1.84	4,247,492,638	NEGATE_ALL	100	10	10	81,670	382	382	3,820,000	0	5	100.00	10,000.00	18,596											1.05	4.19	6.02	13.09	75.65
212	test05	100	50,000,000	2	1.84	4,247,492,638	NEGATE_ALL2	100	10	10	283,734	110	110	1,100,000	11	0	100.00	10,000.00	139,398														4.55	95.45
213	test05	100	50,000,000	2	1.84	4,247,492,638	ALL	100	15	15	60,009	718,967	0	0	0	11,981	.00	.00	8		.00	.02	80.83	19.15	.00									
214	test05	100	50,000,000	2	1.84	4,247,492,638	SOME	100	15	15	63,700	1,355	1,355	12,320,178	0	21	100.00	9,092.38	4,533		.15		.15	.07	.15		.15	.74	.96	1.99	63.25	32.40		
215	test05	100	50,000,000	2	1.84	4,247,492,638	NEGATE_ALL	100	15	15	79,739	386	386	3,860,000	0	5	100.00	10,000.00	18,141											1.55	4.15	5.70	25.65	62.95
216	test05	100	50,000,000	2	1.84	4,247,492,638	NEGATE_ALL2	100	15	15	279,496	106	106	1,060,000	14	0	100.00	10,000.00	133,551														3.77	96.23
217	test06	100	50,000	2	1.85	4,918,393	ALL	1	1	5	60,001	57,497	12,681	5,176,890	0	958	22.06	90.04	1	29.96	39.76	30.06	.21	.00										
218	test06	100	50,000	2	1.85	4,918,393	SOME	1	1	5	60,002	28,338	28,338	35,755,038	0	472	100.00	1,261.74	2	8.23	27.74	59.73	3.55	.76										
219	test06	100	50,000	2	1.85	4,918,393	NEGATE_ALL	1	1	5	60,004	5,970	3,829	2,278,983	0	99	64.14	381.74	10	65.28	34.72	18.56	31.27	49.65	.52									
220	test06	100	50,000	2	1.85	4,918,393	NEGATE_ALL2	1	1	5	60,005	8,141	5,235	3,184,411	0	136	64.30	391.16	7	23.02	74.60	56.06	28.04	8.14	7.15	.60								
221	test06	100	50,000	2	1.85	4,918,393	ALL	10	1	5	60,000	1,453,471	318,609	126,393,022	0	24,225	21.92	86.96	0	59.77	39.30	.92	.00	.00	.00									
222	test06	100	50,000	2	1.85	4,918,393	SOME	10	1	5	60,000	808,111	808,111	985,816,740	0	13,469	100.00	1,219.90	1	33.47	60.21	6.31	.01											
223	test06	100	50,000	2	1.85	4,918,393	NEGATE_ALL	10	1	5	60,003	137,254	87,897	51,143,555	0	2,287	64.04	372.62	4	52.32	46.59	65.61	34.32	.06	.01									
224	test06	100	50,000	2	1.85	4,918,393	NEGATE_ALL2	10	1	5	60,025	80,993	52,037	30,259,677	0	1,349	64.25	373.61	7	49.95	48.37	38.11	48.45	6.19	7.11	.13								
225	test06	100	50,000	2	1.85	4,918,393	ALL	20	1	5	60,000	1,626,643	356,126	141,832,391	0	27,111	21.89	87.19	1	29.66	67.47	2.83	.04	.00										
226	test06	100	50,000	2	1.85	4,918,393	SOME	20	1	5	60,002	909,937	909,937	1,107,123,986	0	15,165	100.00	1,216.70	1	2.41	70.55	26.80	.24	.00										
227	test06	100	50,000	2	1.85	4,918,393	NEGATE_ALL	20	1	5	60,014	142,454	91,287	52,983,401	0	2,374	64.08	371.93	8	56.91	42.15	.00	83.24	16.76										
228	test06	100	50,000	2	1.85	4,918,393	NEGATE_ALL2	20	1	5	60,021	83,154	53,315	30,213,163	0	1,385	64.12	363.34	14	54.58	44.23	1.14	10.79	78.30	9.43	1.47								
229	test06	100	50,000	2	1.85	4,918,393	ALL	100	1	5	60,004	1,610,743	354,127	139,671,226	0	26,844	21.99	86.71	4	.00	.00	90.00	9.99	.00										
230	test06	100	50,000	2	1.85	4,918,393	SOME	100	1	5	60,008	896,550	896,550	1,096,630,739	0	14,941	100.00	1,223.17	7	.00	.00	.01	98.75	1.24	.00									
231	test06	100	50,000	2	1.85	4,918,393	NEGATE_ALL	100	1	5	60,039	142,320	91,100	52,953,652	0	2,370	64.01	372.08	42	60.21	39.55	.00	.02	.03	99.52	.43								
232	test06	100	50,000	2	1.85	4,918,393	NEGATE_ALL2	100	1	5	60,078	82,709	52,947	30,521,217	0	1,377	64.02	369.02	73	49.08	50.00	.00	.01	.02	.08	96.68	3.21							
233	test06	100	50,000	2	1.85	4,918,393	ALL	200	1	1	60,012	1,166,731	1,166,731	493,557,749	0	19,442	100.00	423.03	10	.00	.00	.02	16.49	83.49	.00									
234	test06	100	50,000	2	1.85	4,918,393	SOME	200	1	1	60,011	1,168,329	1,168,329	497,304,674	0	19,469	100.00	425.66	10	.00	.00	.02	17.48	82.50	.00									
235	test06	100	50,000	2	1.85	4,918,393	NEGATE_ALL	200	1	1	60,083	141,048	45,325	17,633,374	0	2,348	32.13	125.02	85	55.54	43.78	.00	.02	.02	.07	99.88								
236	test06	100	50,000	2	1.85	4,918,393	NEGATE_ALL2	200	1	1	60,136	104,192	33,419	12,973,144	0	1,733	32.07	124.51	115	49.24	49.66	1.10	.02	.03	.08	.14	99.74							
237	test06	100	50,000	2	1.85	4,918,393	ALL	200	2	2	60,007	1,852,653	175,103	17,376,139	0	30,874	9.45	9.38	6	.00	.01	.01	99.67	.31	.00									
238	test06	100	50,000	2	1.85	4,918,393	SOME	200	2	2	60,018	965,540	965,540	811,512,309	0	16,088	100.00	840.48	12	.00	.00	.01	.03	99.88	.07									
239	test06	100	50,000	2	1.85	4,918,393	NEGATE_ALL	200	2	2	60,083	141,655	76,207	35,398,429	0	2,358	53.80	249.89	85	55.03	43.70	.00	.02	.03	.09	99.85								
240	test06	100	50,000	2	1.85	4,918,393	NEGATE_ALL2	200	2	2	60,148	91,852	49,478	23,135,684	0	1,527	53.87	251.88	131	48.55	50.43	.00	.01	.03	.08	.13	99.75							
241	test06	100	50,000	2	1.85	4,918,393	ALL	200	3	3	60,007	1,849,383	7,321	166,367	0	30,819	.40	.09	6	.00	.00	.02	99.73	.25	.00									
242	test06	100	50,000	2	1.85	4,918,393	SOME	200	3	3	60,017	872,569	872,569	1,082,034,476	0	14,539	100.00	1,240.06	14	.00	.00	.01	.03	99.67	.28									
243	test06	100	50,000	2	1.85	4,918,393	NEGATE_ALL	200	3	3	60,082	142,212	98,337	52,073,920	0	2,367	69.15	366.17	84			.00	.02	.02	.09	99.72	.14							
244	test06	100	50,000	2	1.85	4,918,393	NEGATE_ALL2	200	3	3	60,167	82,062	56,973	30,977,145	0	1,364	69.43	377.49	146			.00	.02	.03	.04	.12	99.64	.14						
245	test06	100	50,000	2	1.85	4,918,393	ALL	200	4	4	60,008	1,789,567	142	392	0	29,822	.01	.00	7	.00	.01	.02	99.60	.37	.00									
246	test06	100	50,000	2	1.85	4,918,393	SOME	200	4	4	60,016	809,239	809,239	1,311,361,162	0	13,484	100.00	1,620.49	15	.00	.00	.01	.01	98.99	.97									
247	test06	100	50,000	2	1.85	4,918,393	NEGATE_ALL	200	4	4	60,083	143,102	113,014	70,764,865	0	2,382	78.97	494.51	84				.01	.03	.09	99.87								
248	test06	100	50,000	2	1.85	4,918,393	NEGATE_ALL2	200	4	4	60,168	74,236	58,883	37,224,122	0	1,234	79.32	501.43	162			.00	.01	.03	.05	.13	97.91	1.88						
249	test06	100	50,000	2	1.85	4,918,393	ALL	200	6	6	60,009	1,680,123	0	0	0	27,998	.00	.00	7	.00	.01	.02	98.63	1.35	.00									
