run	index name	bool fields count	document count	base	percentage of true	disk space	thread count	query count per thread	min terms	max terms	duration	queries run	queries with results	total results lower bound	queries per second	percentage of queries that had results	average results per query	average query duration
53	performance05	100	50000000	1.25	4.49	5586201123	500	50	3	3	8741	25000	2739	3808538	2860.085	10.956	152.342	164
54	performance05	100	50000000	1.25	4.49	5586201123	500	50	4	4	5381	25000	678	588411	4645.977	2.712	23.536	98
55	performance05	100	50000000	1.25	4.49	5586201123	500	50	6	6	1497	25000	15	215	16700.067	0.06	0.009	26
56	performance05	100	50000000	1.25	4.49	5586201123	500	50	10	10	1577	25000	0	0	15852.885	0	0	29
57	performance05	100	50000000	1.25	4.49	5586201123	500	50	15	15	1969	25000	0	0	12696.8	0	0	37
58	performance06	100	50000000	2	1.83	4247008951	1	50	1	5	121	50	13	33184	413.223	26	663.68	2
59	performance06	100	50000000	2	1.83	4247008951	10	50	1	5	832	500	105	135680	600.962	21	271.36	4
60	performance06	100	50000000	2	1.83	4247008951	20	50	1	5	1002	1000	230	367348	998.004	23	367.348	4
61	performance06	100	50000000	2	1.83	4247008951	100	50	1	5	2649	5000	1143	1530898	1887.505	22.86	306.18	37
62	performance06	100	50000000	2	1.83	4247008951	500	50	1	5	15429	25000	5898	8271548	1620.325	23.592	330.862	280
63	performance06	100	50000000	2	1.83	4247008951	1000	50	1	5	24231	50000	12092	16727859	2063.472	24.184	334.557	459
64	performance06	100	50000000	2	1.83	4247008951	1500	50	1	5	35403	75000	17778	24086160	2118.465	23.704	321.149	675
65	performance06	100	50000000	2	1.83	4247008951	2000	50	1	5	49714	100000	23557	31032847	2011.506	23.557	310.328	959
66	performance06	100	50000000	2	1.83	4247008951	500	50	1	1	53300	25000	25000	35799208	469.043	100	1431.968	1021
67	performance06	100	50000000	2	1.83	4247008951	500	50	2	2	5472	25000	2728	2801766	4568.713	10.912	112.071	94
68	performance06	100	50000000	2	1.83	4247008951	500	50	3	3	1445	25000	185	132483	17301.038	0.74	5.299	22
69	performance06	100	50000000	2	1.83	4247008951	500	50	4	4	1105	25000	12	1401	22624.434	0.048	0.056	20
70	performance06	100	50000000	2	1.83	4247008951	500	50	6	6	1138	25000	0	0	21968.366	0	0	21
71	performance06	100	50000000	2	1.83	4247008951	500	50	10	10	1215	25000	0	0	20576.132	0	0	23
72	performance06	100	50000000	2	1.83	4247008951	500	50	15	15	1398	25000	0	0	17882.69	0	0	26
